"HolderAddress","Quantity","PendingBalanceUpdate"
"0xb3978afe1dc9389414b1d7f9aebedcebf175de9d","3","No"
"0x6f69f79cea418024b9e0acfd18bd8de26f9bbe39","3","No"
"0x32497a0f2b734eed721e60a3c270c2029430325a","3","No"
"0x379f75d14f5822e3491d4618f9517a99f881da0a","3","No"
"0xff5cdf262af69795ca9f7864b1bf6102001e5a17","3","No"
"0x96f5472204364a8c0b2d19dec1f18217931f3455","3","No"
"0x516e9b3ee313188a0ccc9291c520c137d6634b0c","3","No"
"0x098132fccb732f650071d6b281092df22d60c28e","3","No"
"0xe46347662bda8301bdc0fb4a2987a466ae30dfbb","3","No"
"0xe3fc637af794eda27f66022938cda18786899d41","3","No"
"0xeb98c6ca1db3beac14f5d5d4e62a87694ce42f26","3","No"
"0x76a4de665247c0b4edf43d720c797d4702896c8f","3","No"
"0xc47000de7fb7be6a24027563d3aae32e6466423f","3","No"
"0x878c01693314146ff677f979b7e6dd2de054437c","3","No"
"0xdbaf1731a4aef9dca38ca8276367732dbf7ea219","3","No"
"0x6937a767422c879a90ccb1765c0370431a87f70a","3","No"
"0x69be4b80090d3e642d1d3b30ba40c790369c0509","3","No"
"0x42bf256dd1abb69590afc4e352a5c518c0e48215","3","No"
"0xc864b0ab18b0ed0beab72f915bacb12971fdb73a","3","No"
"0x111e6bbd3ed469fe2cb26e79f4162e4dbddd2355","3","No"
"0x0ca85b489a1276ef7042f1d032d0ef3831eaf4ca","3","No"
"0x2df0fd0aac061e864f6402ea4c62aa6167a4578d","3","No"
"0x90ee4f34956585f67e2ed423e32936661116b2ba","3","No"
"0x07ad4d3f9b0efc16d6f3598dd360de89b76b40d3","3","No"
"0xaa5146397cffac091eb64b21b7950f332eccfd00","3","No"
"0x7d6e16016acfd9b0336ff8d851b0aef24d2c7137","3","No"
"0x5e46884a77e0ac5f3126e30720bd5218814dc5e2","3","No"
"0xd49a5f128318874de690ebf2c85623232008d964","3","No"
"0xb4b000628e8e9e4391df97052792f349ab9f593e","3","No"
"0x6d794a869e23e406406e00b3bdd51f9974f8296d","3","No"
"0xe2808fa3cf07fcb9305142e153a1ec0e653291f2","3","No"
"0x12e3a5b022b275ad14588ebf82dd99e8d5a4d300","3","No"
"0x9f48c03cc99f030af524ffd2b06f8e003a56965c","3","No"
"0x2177da04f9479496c2292d6344d306aa49beb34a","3","No"
