"HolderAddress","Quantity","PendingBalanceUpdate"
"0x46cb73a78b3d164bb35e39816546be863793e732","3","No"
"0x47ba498959a5fb072dc0826a97ad79a2d690e787","3","No"
"0x4816c8face818964696340e8353fbe34bf49fcd7","3","No"
"0x49885298d3e1e674631fee117b1530eddf75e01d","3","No"
"0x4a32007040567190bed4fa6ff3f5a03c0d47c9d7","3","No"
"0x4b05fee30ba471941ed1fd6fb3f68bcdfecfc036","3","No"
"0x4b62c4137c8e983cf62cf6fc3feeaa6e0cab7fc3","3","No"
"0x4b70b870182f65e43e7413ec33878015eab7e7ff","3","No"
"0x4bba0f70d40287d2db2208172f9defd94fec4bb4","3","No"
"0x4c32056c40b454f42cb8813e013a2096b70ed6ae","3","No"
"0x4c755150050873fd41469ac3e92efb4863577ac3","3","No"
"0x4cb3dd62f3b36625afdb75004163ce9962ac6f51","3","No"
"0x4d6ebdef5f0df4a47f6b4fd1ceb976bda4e9ccfd","3","No"
"0x4d73aaf712362550f1c22de5387391e0391b4275","3","No"
"0x4eb859fc83977267fbb6ae1066a51fb4c9086c28","3","No"
"0x4f0380f067ab6786bf73c473659a4958c672b89d","3","No"
"0x4f0a0714b3a585b5fb999b4084115c0afa742cfe","3","No"
"0x4f5d82931fe09ca1c1ac67c602c55e5feddf0e98","3","No"
"0x4f8382f3d38108128e98b621f7370179dd99e1b6","3","No"
"0x5062643314417a88ae40bbdc8b15f21c4abb288b","3","No"
"0x516e9b3ee313188a0ccc9291c520c137d6634b0c","3","No"
"0x518e850b139b6d81626b29e1b4e957ad345156a8","3","No"
"0x5278d5b0d6cf0bc06e29901698c32f77d3ae4b3c","3","No"
"0x5284b0ba212a1f94246afdf3ceb892441d1e3434","3","No"
"0x52f349edd4dcb7a3c60bf3066ce9a23962726d25","3","No"
"0x532ffb08114bf840ac4e0b22acea7d0ade1a18c6","3","No"
"0x53f29010087b736604f58621e02f8e94175feaca","3","No"
"0x53feba757be2be0f440cb6b5017314e89eb13bc2","3","No"
"0x545f02c130aa93f33d7f089734b3ff09be9bf024","3","No"
"0x5474327b0554c55c1b4d1be8bd300a577732f51b","3","No"
"0x54919c903a6298ed7782e1c67673f24771e59c31","3","No"
